Device,Title,ReviewText,SubmissionText,UserNickname
Galaxy-s7,Great phone,"So far is a fast running, reliable phone.  Also has a great camera, with lots of memory.  Also has a removable SD card to upgrade if you need more memory.",2017-02-17T21:38:0,macdroop
Galaxy-s7,Great phone!,"Upgraded from the S5 and can really tell a difference. It runs smoother and speedier. The battery does not run down near as fast and applications look and run well. The back is a little smoother than I would like, but that was fixed with a slim cover to give more traction when holding or pulling out of my pocjet. Overall, really enjoying this phone!",2017-02-17T21:21:1,jake99
Galaxy-s7,Great Phone,"Excellent mobile phone with awesome features. Also, Verizon provides a good coverage for the New England area.",2017-02-16T02:02:3,alecjerel
Galaxy-s7,Great phone,It is very easy to use.  Better features than the S5 had.  Glad the charging adapter was made smaller.,2017-02-15T23:41:2,JoeHatt
Galaxy-s7,"not sure yet, still learning","I am trying to learn all the features. Right now their is a hick-up with texting to my husband's phone, only his. Strange. Going to stop by Verizon and see what may be the problem. Wish me luck.",2017-02-15T17:35:3,silly need
Galaxy-s7,East going from my Samsung s4 to the Galaxy s7,I've had a few questions about some minor things and the people at the Verizon were very patient with me.,2017-02-15T16:42:3,Lin21
Galaxy-s7,Great phone,Everything you need in a phone. Takes great pictures and video. Easy to navigate between screens. Nice size for display,2017-02-15T14:52:3,Weatherproof
Galaxy-s7,Love my Samsung S7,Love my new Samsung S7. I had the S5 and the battery would get really hot. No problems with this one so far. Wanted a better camera and this one seams to be awesome so far.,2017-02-15T11:49:3,Pj Hadley
Galaxy-s7,Good phone.  Still getting used to it.,"I replaced a Note 4 with this phone because, basically, I didn't want to wait for the next Note.  Anyway, so far this phone has been great.  I had some issues with setting it up to run with all my old apps, but, I think I've got it close enough.  Still some alerts and whatnot that aren't working, but, overall a very good phone.",2017-02-15T00:34:1,Mike_Bak
Galaxy-s7,Happy customer!,"Great features, easy to use, love the gear accessories and wireless charger. Can't wait to purchase the virtual reality headset!",2017-02-14T20:49:5,Ronnie Widener
Galaxy-s7,Great phone,This is only my second smart phone. My first was the Galaxy Note II. This is a much faster phone. I did have a problem with the mobile data turning itself off on its own. I turned on developer options and set mobile data to stay on all the time and that fixed it. My only other issue is that I have apps set to update on wifi only and I have to manually update them. They do not update automatically like on my Note II. This might be a Google Play issue though and not a phone issue?,2017-02-14T19:18:2,jab8356
Galaxy-s7,"s7 is a great , but wish I had known s8 comes out next month","great phone, nice upgrade from my s4\r\njust wish I knew that Samsung was coming out with s8 next month I would have waited, now I'm stuck with this s7 for 2 years.  \r\nI",2017-02-13T17:24:5,bctx
Galaxy-s7,This is a great phone. Much better thaat my htc phone it replaced!!,This phone is much faster and works better also on low signal than my last phone.\r\nThis phone is also easier to use.,2017-02-13T01:33:3,Jeff in PA
Galaxy-s7,Awesome!!!!,Best phone I've ever owned and haven't had any problems yet!!! Vary easy to operate and is vary similar to the Motorola Droid razor max that I owned 6 years ago!,2017-02-12T22:19:0,Delaney89
Galaxy-s7,Easy to use,The phone is very easy to use. The features make sense and are simple to access. I would highly recommend this phone.,2017-02-12T20:57:2,Maryverizonuser
Galaxy-s7,Galaxy s7,Im happy with my switch from motorola droid turbo to the galaxy s7. Love the android phones and wont switch to another operating system.,2017-02-12T19:49:5,Lesla82
Galaxy-s7,Galaxy S7,The S7 is a major upgrade from the S6. Faster and longer battery life. The expandable storage is a huge plus.,2017-02-12T01:10:4,RM39
Galaxy-s7,Easy to use,Transferring all data and apps was so simple. With the new transfer block it only took minutes and even eryrhing from my old phone was on my new one.,2017-02-10T19:58:1,BBuzz68
Galaxy-s7,Love this phone,This phone is great. Crystal clear screen. The pictures are great. It has tons of memory space so you can have lots more stuff on it. Not to mention that it looks slick as all get out.,2017-02-10T00:22:4,Dnsirh
Galaxy-s7,My new Samsung S7,"Prior to this phone, I had a LG flip phone for the past 4 years!  I am learning the phone and it fantastic!",2017-02-10T00:09:0,Lisabathe50
Galaxy-s7,New,The clerks were very knowledgeable and helped me get this phone with a package deal and helped set the phone up. The service was great,2017-02-09T23:25:2,Timmit
Galaxy-s7,S4 to S7,"Had a Galaxy S4 and was dreading switching to a new phone, but when the battery would not hold a charge for more than 12 hours I made the switch to the S7. Surprised how seamless the transition was and now the battery lasts 2 days.",2017-02-09T21:03:1,PJinSD
Galaxy-s7,Easy upgrade and great updates on features,The S7 is similar enough to my previous S4 that any operational changes were intuitve. The screen resolution is amazing making video and pictures much more vibrant. The interface with email and apps were quick to switchover so I was able to leave the store fully funtional.,2017-02-09T20:45:2,Emyrin
Galaxy-s7,Awesome experience from previous phone,"The Samsung S7 has been an awesome phone so far, I've had it less than a week. I love the app SmartSwitch, it worked seamlessly through my old LG G4 & the new Samsung Galaxy S7. \r\nLovin the battery life too & camera takes incredible pics & video!!!",2017-02-09T04:35:1,SamsungS7
Galaxy-s7,"Galaxy S7 Review (less camera, which I haven't used)","There was not a great deal of difference between the Galaxy S5 and Galaxy S7, however the small changes were improvements. I haven't explored the camera upgrades yet, so can't comment on that, but overall the difference appears to be  from a very good phone to a better one.",2017-02-09T02:24:0,XXZZZYYY
Galaxy-s7,I'm very happy that I decided not to buy an iPhone 7.,"After I bought a Vizio e-series tv, I decided to upgrade my phone, as the Vizio uses apps on the cellphone to control streaming online content. Not only do the two devices function seamlessly together, but compared to my old Samsung Galaxy s3, the s7 is beautiful (the gold-on-platinum finish is so striking, I bought a transparent phone case for it), light, fast, incredibly user-friendly, charges rapidly (less than an hour), and holds a charge throughout a long, busy day. The screen is big without being too big, and for an added bonus, the earbuds included with the phone sound much better than you'd expect, particularly when paired with the Poweramp music player app available on the Google Play Store.",2017-02-08T21:43:4,billybangdouglas
Galaxy-s7,Happy,I love my new phone and would not ever trade it for another divice samsung is an amazing company that knows that people want,2017-02-08T20:57:0,Honeybadgergirl
Galaxy-s7,Awesome apps,"I am very spoiled when it comes to Samsung they have really good phones and features. Their apps are easy accessible, I love the water resistance feature.",2017-02-08T20:52:4,Terri541
Galaxy-s7,Great Phone!,"Love the features on this phone. Always a plus with Samsung! Camera is good, storage is good, holds a lot.",2017-02-07T21:11:4,Bambi619
Galaxy-s7,Replacement from S5,Like the longer battery life and speed of system. Like the 32 GB internal storage.  Dislike the Verizon messenger app and prefer the Samsung message app.,2017-02-06T23:18:5,James39Ala
Galaxy-s7,Keeps getting better,"The S7 has new features that make it more convenient and a pleasure to use.  Great job Samsung, keep making those quality products!",2017-02-06T21:23:5,pm293
Galaxy-s7,My very first smartphone!,"Easy to use. I have a Samsung tablet so icons on this phone were familiar. Love the camera,  just in time to take pictures of new grandbaby.",2017-02-06T13:52:3,DCGrammy
Galaxy-s7,Smarthone Review,This is the first smartphone I have owned.  The Verizon rep came to our office in December 2016 and was very helpful and knew the products.  he also gave me a great deal on the phone and service plan.  I think this a great product and I am pleased with my choice.,2017-02-06T13:45:0,DevilsFan2003
Galaxy-s7,Good upgrade from my previous phone,I am better able to keep better informed of events that effect my daily life from the weather to current events and news updates,2017-02-06T05:00:4,Supertech2
Galaxy-s7,Samsung Galaxy 7,Nice phone and service.  This was a nice upgrade from the Galaxy S6. I got this one for my boyfriend the next one will be for me,2017-02-06T02:20:4,Sashay1969
Galaxy-s7,This phone rocks!,I love everything about this phone. It has a great looking screen that is easy to see and very clear. Great Touch recognition and accuracy. The best thing is that the battery lasts a very long time. So far I haven't got under 24 hours out of it on one charge.,2017-02-06T01:56:1,Matt R
Galaxy-s7,Excellent Features,It has a wide range of coverage among the wireless I ever have been used. The battery charges much faster than my previous samsung and also lasts longer. It does have more storage capacity than my old phone.It takes less time to install the applications.,2017-02-06T00:49:0,Narendra
Galaxy-s7,New phone,I love my new phone and would recommend the Galaxy S7 to people.  The design and functions are easy for consumer,2017-02-05T04:01:0,Ang1717
